,fips_code,state,name,poor_or_fair_health,monthly_poor_physical_health_days,monthly_poor_mental_health_days,adult_smoking,adult_obesity,physical_inactivity,access_to_exercise,excessive_drinking,alcohol_impaired_driving_deaths,uninsured_under_65,primary_care_physicians,dentists,mental_health_providers,flu_vaccinations,high_school_grad,some_college,unemployed,children_in_poverty,single_parent_households,social_associations,violent_crime,injury_deaths,severe_housing_problems,households_with_high_housing_costs,households_with_overcrowding,households_with_lack_of_kitchen_or_plumbing_facilities,life_expectancy,diabetes_prevalence,hiv_prevalence,limited_access_to_healthy_foods,drug_overdose_deaths,motor_vehicle_crash_deaths,uninsured_adults,uninsured_children,other_primary_care_providers,median_household_income,children_eligible_for_free_or_reduced_price_lunch,homicides,firearm_fatalities,homeownership,severe_housing_cost_burden,population,proficient_in_English
1447,28039,MS,George County,0.16825515940000002,3.6184293709,3.9144362667,0.18006480589999999,0.368,0.331,0.2982549384,0.1558264348,0.24489795920000001,0.137715736,0.00037982699999999995,0.0002905288,0.0002490247,0.24,0.89,0.4393491124,0.0705631591,0.225,0.2282224365,9.284659210800001,59.276822761999995,128.37516153,0.1224899598,0.0966552901,0.016733601100000002,0.016733601100000002,72.046643911,0.138,105.2,0.0327309764,16.862932464,52.005898081000005,0.17859789539999998,0.050693374400000005,0.0003320329,51185.0,0.6918177364,7.3,18.7,0.8524930748,0.0787064383,24094.0,0.0049261084
1448,28041,MS,Greene County,0.167597813,3.5743557385000004,3.7585990416,0.1900101079,0.366,0.315,0.1427777778,0.1613099951,0.15,0.1505841627,7.458229999999999e-05,0.0001498689,0.0001498689,0.26,0.875,0.40112596759999997,0.0750228728,0.244,0.2949981745,7.4582338902,109.00370613,74.079453846,0.1387559809,0.0778588808,0.0380382775,0.028468899500000002,73.748370793,0.13,780.0,0.0178297281,3.2121491315,29.745420231,0.19088537670000003,0.056814221,0.0008992132000000001,44337.0,0.771641791,0.7,1.7,0.8756588404000001,0.08572134390000001,13345.0,0.0002282758
1449,28043,MS,Grenada County,0.22258943949999999,4.1158195716,4.1786015303,0.1948012045,0.373,0.335,0.6507349585,0.1242244152,0.1590909091,0.1499536823,0.0005170388,0.00042680319999999997,0.0004742258,0.35,0.825,0.5054629097,0.045996063399999995,0.29600000000000004,0.5390224675,15.041128085,0.0,104.460072,0.18371467030000002,0.1577134986,0.0255720054,0.0040376851000000005,72.758046271,0.149,392.4,0.0759617846,3.2121491315,25.895382654000002,0.1905108309,0.0496043235,0.0012804097,38827.0,0.7430278884,22.6,32.6,0.6834833312,0.1516922659,21087.0,0.0016484339999999998
1450,28045,MS,Hancock County,0.1741549563,3.9294091413,4.0715418611,0.1899160077,0.36,0.35600000000000004,0.4687108744,0.1485174666,0.21276595739999998,0.1510073284,0.0003419461,0.0002337789,0.0002125263,0.38,0.828280543,0.6058476244,0.054201258499999995,0.244,0.39905502509999996,7.9075035797,123.61534757,93.19222190100001,0.1495427649,0.1273180183,0.025282409900000004,0.0077998924,76.01728396,0.15,239.5,0.1482340996,30.656476359000003,14.299792030999999,0.1881488352,0.049408424000000006,0.0005950736,45535.0,0.747389746,5.9,18.6,0.7352311308,0.1292991564,47053.0,0.001099329
1451,28047,MS,Harrison County,0.2135619994,4.1422773576,4.3978685177,0.21228940920000003,0.34,0.301,0.6922583576000001,0.1357348092,0.2846153846,0.153952876,0.0005609298,0.0007023464999999999,0.0016485634,0.33,0.8523312590000001,0.6124046943,0.0478516863,0.305,0.43940751229999997,9.8408730823,234.22057014,84.856286478,0.192672641,0.16757841240000002,0.0321560358,0.0059304164,75.09293024899999,0.132,377.7,0.1578718876,17.550449341,15.248529452,0.1959666088,0.051488748,0.0011852098,46709.0,0.6657567858,7.9,17.2,0.5575679505,0.16741979210000002,205027.0,0.0150154973
1452,28049,MS,Hinds County,0.2207427361,4.0628978061000005,4.1814266994,0.1927486223,0.385,0.317,0.6988115865000001,0.1241533178,0.152284264,0.1377815859,0.0007544698,0.0009352936,0.0024927243,0.39,0.7435534817,0.6592119608,0.048148281900000006,0.28600000000000003,0.58497651,14.301763055,755.01275122,76.799656835,0.21428571429999999,0.1889454209,0.0326160433,0.009238395699999999,75.2899183,0.145,1175.3,0.1247854664,9.120847077899999,18.255521125,0.1803875866,0.034267141800000005,0.0021252876,44076.0,0.8975776589,24.3,28.0,0.5926216729,0.1823907485,239497.0,0.0071085351000000005
1453,28051,MS,Holmes County,0.35082734509999997,5.622735583099999,5.1226799957999996,0.27130897460000003,0.44799999999999995,0.39399999999999996,0.2815918325,0.09664480269999999,0.3333333333,0.1567268655,0.0005000278,0.00033823779999999997,0.0002818648,0.3,0.7599604743,0.3788022814,0.09535325619999999,0.525,0.7776628749,10.556142008,0.0,114.32968724,0.19236760120000002,0.1690455718,0.035046729,0.014018691599999999,71.48844790300001,0.198,474.0,0.3250635395,3.2121491315,41.219794834,0.2117381026,0.0406673618,0.0008455944999999999,24783.0,0.9991012582,27.2,30.8,0.6095541401,0.1741869919,17739.0,0.0
1454,28053,MS,Humphreys County,0.3601084672,5.4164680056,4.8892196519999995,0.2616781582,0.45799999999999996,0.34,0.3588266667,0.0940767324,0.1818181818,0.1490089833,0.00046986959999999997,0.0002397507,0.00151670365715743,0.15,0.825,0.4159793814,0.0909878683,0.562,0.6823027719,12.921414308,0.0,78.72739481800001,0.2274959083,0.1725888325,0.053682487699999996,0.0045826514,74.120591088,0.18100000000000002,420.2,0.1263255389,3.2121491315,30.800155622,0.2025898079,0.0358821017,0.000359626,26489.0,0.9982435597,0.7,1.7,0.5819172812,0.1784766957,8342.0,0.0021018792999999997
1455,28055,MS,Issaquena County,0.3201844737,5.1123452126,4.5771193936,0.2692990259,0.35700000000000004,0.32299999999999995,0.18136557609999998,0.11139781050000001,0.0,0.1777777778,0.0,0.0,0.00151670365715743,0.18,0.882537342436436,0.2605042017,0.1161616162,0.5,0.5414364641,7.727975270499999,0.0,25.590719099,0.1954022989,0.180974478,0.0229885057,0.0091954023,77.4647483801507,0.147,10.4,0.27153304489999996,3.2121491315,2.8068165244,0.20272314670000002,0.064516129,0.0,28075.0,0.5346923334591918,0.7,1.7,0.4599542334,0.1611940299,1339.0,0.0016542597
1456,28057,MS,Itawamba County,0.19053218489999998,4.0518339489,4.125618766100001,0.1848268484,0.35,0.29600000000000004,0.5028417589,0.1480190945,0.125,0.1549242628,0.0002125037,0.0001701548,0.0002126936,0.5,0.84,0.5435952637,0.042657679299999994,0.19699999999999998,0.30658636100000003,13.175230567,106.73725557,96.933005688,0.1194114318,0.09303652970000001,0.0220713073,0.0113186191,74.781665772,0.15,125.2,0.0465996389,3.2121491315,28.001144395,0.19457853690000002,0.0523462329,0.0008082355,45718.0,0.6428969359000001,0.7,14.5,0.7530920231,0.08688915380000001,23508.0,0.0005413452
